id,order_id,entity,amount,currency,status,method,captured,email,contact,customer_id,bank,error_code,error_description,error_source,error_step,error_reason,root_cause,created_at,attempt_number,previous_success_rate,previous_failure_rate,upi_success_rate,card_success_rate,time_since_last_attempt_min,hour,day_of_week,checkout_duration_sec,customer_value_tier,recovered,recovery_action
pay_00000000000039,order_00000000000039,payment,417729,INR,failed,card,False,customer39@example.com,+919869287967,cust_0000000039,SBIN,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1786166472,1,0.666,0.334,0.627,0.688,0,9,5,294,mid,1,retry
pay_00000000000040,order_00000000000040,payment,3200770,INR,failed,card,False,customer40@example.com,+919893334601,cust_0000000040,SBIN,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1788057233,4,0.868,0.132,0.705,0.976,898,19,6,195,high,0,escalate
pay_00000000000041,order_00000000000041,payment,90701,INR,failed,upi,False,customer41@example.com,+919849613214,cust_0000000041,,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1787210252,1,0.859,0.141,0.904,0.765,0,8,6,261,low,0,retry
pay_00000000000042,order_00000000000042,payment,54663,INR,failed,netbanking,False,customer42@example.com,+919888458327,cust_0000000042,UTIB,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1787072853,1,0.501,0.499,0.364,0.626,0,11,5,398,low,0,retry
pay_00000000000043,order_00000000000043,payment,716432,INR,failed,upi,False,customer43@example.com,+919897902129,cust_0000000043,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1788215600,1,0.736,0.264,0.663,0.732,0,23,5,94,mid,0,retry
pay_00000000000044,order_00000000000044,payment,1307930,INR,failed,card,False,customer44@example.com,+919871031132,cust_0000000044,HDFC,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1787741290,1,0.619,0.381,0.653,0.488,0,8,1,77,high,0,switch_to_upi
pay_00000000000045,order_00000000000045,payment,138034,INR,failed,upi,False,customer45@example.com,+919833420607,cust_0000000045,,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1788169862,1,0.674,0.326,0.912,0.362,0,4,1,291,low,1,send_reminder
pay_00000000000046,order_00000000000046,payment,623962,INR,failed,upi,False,customer46@example.com,+919896347724,cust_0000000046,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1788500271,2,0.538,0.462,0.873,0.207,2136,1,5,352,mid,1,retry
pay_00000000000047,order_00000000000047,payment,98301,INR,failed,card,False,customer47@example.com,+919825356396,cust_0000000047,PUNB,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1786318459,1,0.65,0.35,0.404,0.87,0,16,4,235,low,1,retry
pay_00000000000048,order_00000000000048,payment,140977,INR,failed,upi,False,customer48@example.com,+919860015814,cust_0000000048,,GATEWAY_ERROR,Payment failed due to a temporary issue at the bank's end.,bank,payment_authorization,bank_server_error,NETWORK_TIMEOUT,1788085183,1,0.777,0.223,0.804,0.716,0,2,0,236,low,1,retry
pay_00000000000049,order_00000000000049,payment,258633,INR,failed,upi,False,customer49@example.com,+919884660688,cust_0000000049,,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1787089264,3,0.598,0.402,0.834,0.318,444,21,3,129,mid,1,escalate
pay_00000000000050,order_00000000000050,payment,339179,INR,failed,card,False,customer50@example.com,+919886010330,cust_0000000050,PUNB,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1786949915,2,0.593,0.407,0.426,0.738,744,10,2,18,mid,0,send_reminder
pay_00000000000051,order_00000000000051,payment,205164,INR,failed,card,False,customer51@example.com,+919898843907,cust_0000000051,UTIB,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1786593914,3,0.827,0.173,0.817,0.872,335,19,0,360,mid,1,escalate
pay_00000000000052,order_00000000000052,payment,2514825,INR,failed,upi,False,customer52@example.com,+919848848936,cust_0000000052,,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1787254682,1,0.468,0.532,0.724,0.25,0,6,6,85,high,0,send_reminder
pay_00000000000053,order_00000000000053,payment,231644,INR,failed,upi,False,customer53@example.com,+919825458308,cust_0000000053,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1786932098,2,0.631,0.369,0.7,0.582,2623,13,4,222,mid,1,retry
pay_00000000000054,order_00000000000054,payment,86910,INR,failed,card,False,customer54@example.com,+919841711468,cust_0000000054,HDFC,GATEWAY_ERROR,Payment failed because of insufficient funds in the account.,customer,payment_authorization,insufficient_funds,CARD_FAILURE,1788016695,1,0.573,0.427,0.368,0.81,0,11,5,345,low,0,retry
pay_00000000000055,order_00000000000055,payment,681981,INR,failed,card,False,customer55@example.com,+919848530827,cust_0000000055,HDFC,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1788252196,2,0.583,0.417,0.347,0.792,234,14,3,34,mid,1,send_reminder
pay_00000000000056,order_00000000000056,payment,137850,INR,failed,upi,False,customer56@example.com,+919868754920,cust_0000000056,,SERVER_ERROR,The service was temporarily unavailable.,gateway,payment_processing,internal_error,NETWORK_TIMEOUT,1786787858,1,0.692,0.308,0.727,0.727,0,20,1,35,low,1,retry
pay_00000000000057,order_00000000000057,payment,131616,INR,failed,card,False,customer57@example.com,+919856952151,cust_0000000057,SBIN,GATEWAY_ERROR,Payment failed because of insufficient funds in the account.,customer,payment_authorization,insufficient_funds,CARD_FAILURE,1786986936,1,0.455,0.545,0.627,0.271,0,2,4,354,low,1,switch_to_upi
pay_00000000000058,order_00000000000058,payment,107878,INR,failed,card,False,customer58@example.com,+919875266178,cust_0000000058,ICIC,GATEWAY_ERROR,Payment was declined by the issuing bank/gateway.,gateway,payment_authorization,payment_declined,BANK_DECLINE,1787680736,3,0.633,0.367,0.572,0.595,878,11,2,107,low,1,escalate
pay_00000000000059,order_00000000000059,payment,320128,INR,failed,upi,False,customer59@example.com,+919841880763,cust_0000000059,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1786767822,2,0.394,0.606,0.207,0.506,179,5,5,239,mid,1,retry
pay_00000000000060,order_00000000000060,payment,359398,INR,failed,upi,False,customer60@example.com,+919884429198,cust_0000000060,,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1788200634,1,0.778,0.222,0.893,0.608,0,1,5,261,mid,0,send_reminder
pay_00000000000061,order_00000000000061,payment,676392,INR,failed,upi,False,customer61@example.com,+919823298711,cust_0000000061,,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1787224617,3,0.622,0.378,0.924,0.244,920,12,0,206,mid,1,escalate
pay_00000000000062,order_00000000000062,payment,4350518,INR,failed,netbanking,False,customer62@example.com,+919842002808,cust_0000000062,UTIB,GATEWAY_ERROR,Payment failed due to a temporary issue at the bank's end.,bank,payment_authorization,bank_server_error,NETWORK_TIMEOUT,1786713653,1,0.21,0.79,0.178,0.327,0,9,1,169,high,1,retry
pay_00000000000063,order_00000000000063,payment,220966,INR,failed,card,False,customer63@example.com,+919844044361,cust_0000000063,PUNB,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1788562802,2,0.711,0.289,0.661,0.823,1585,15,0,340,mid,0,switch_to_upi
pay_00000000000064,order_00000000000064,payment,4814210,INR,failed,card,False,customer64@example.com,+919837057085,cust_0000000064,HDFC,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1787794289,2,0.531,0.469,0.188,0.907,1875,4,0,381,high,1,retry
pay_00000000000065,order_00000000000065,payment,280521,INR,failed,card,False,customer65@example.com,+919861894582,cust_0000000065,SBIN,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1787847358,1,0.477,0.523,0.46,0.421,0,12,5,240,mid,0,retry
pay_00000000000066,order_00000000000066,payment,98986,INR,failed,upi,False,customer66@example.com,+919868376726,cust_0000000066,,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1787479358,2,0.592,0.408,0.741,0.526,1445,11,3,36,low,0,retry
pay_00000000000067,order_00000000000067,payment,144448,INR,failed,upi,False,customer67@example.com,+919820319387,cust_0000000067,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1786223724,2,0.719,0.281,0.783,0.707,1520,4,5,245,low,1,retry
pay_00000000000068,order_00000000000068,payment,665060,INR,failed,card,False,customer68@example.com,+919869741812,cust_0000000068,HDFC,GATEWAY_ERROR,Payment failed due to a temporary issue at the bank's end.,bank,payment_authorization,bank_server_error,NETWORK_TIMEOUT,1787290478,1,0.746,0.254,0.545,0.907,0,4,6,52,mid,1,retry
pay_00000000000069,order_00000000000069,payment,2785887,INR,failed,upi,False,customer69@example.com,+919872734149,cust_0000000069,,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1786317152,1,0.542,0.458,0.868,0.244,0,0,2,298,high,0,retry
pay_00000000000070,order_00000000000070,payment,728083,INR,failed,card,False,customer70@example.com,+919879538491,cust_0000000070,ICIC,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1787355336,1,0.635,0.365,0.463,0.892,0,13,4,43,mid,1,retry
pay_00000000000071,order_00000000000071,payment,89924,INR,failed,upi,False,customer71@example.com,+919891220369,cust_0000000071,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1787214847,1,0.707,0.293,0.488,0.915,0,18,1,102,low,1,retry
pay_00000000000072,order_00000000000072,payment,145390,INR,failed,netbanking,False,customer72@example.com,+919818041391,cust_0000000072,ICIC,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1786787087,2,0.535,0.465,0.464,0.606,1858,21,3,167,low,1,send_reminder
pay_00000000000073,order_00000000000073,payment,51685,INR,failed,upi,False,customer73@example.com,+919848951595,cust_0000000073,,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1787019685,1,0.715,0.285,0.89,0.487,0,14,1,87,low,1,send_reminder
pay_00000000000074,order_00000000000074,payment,202995,INR,failed,netbanking,False,customer74@example.com,+919848352498,cust_0000000074,KKBK,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1788596628,1,0.414,0.586,0.242,0.595,0,19,6,349,mid,0,retry
pay_00000000000075,order_00000000000075,payment,726566,INR,failed,upi,False,customer75@example.com,+919822976369,cust_0000000075,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1786978775,1,0.391,0.609,0.363,0.408,0,21,4,75,mid,1,retry
pay_00000000000076,order_00000000000076,payment,4096341,INR,failed,upi,False,customer76@example.com,+919878090664,cust_0000000076,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1786493031,1,0.632,0.368,0.394,0.791,0,23,6,168,high,1,retry
pay_00000000000077,order_00000000000077,payment,2708770,INR,failed,upi,False,customer77@example.com,+919893179531,cust_0000000077,,GATEWAY_ERROR,Payment was declined by the issuing bank/gateway.,gateway,payment_authorization,payment_declined,BANK_DECLINE,1787036293,1,0.528,0.472,0.721,0.43,0,18,3,102,high,0,retry
pay_00000000000078,order_00000000000078,payment,331594,INR,failed,card,False,customer78@example.com,+919896343485,cust_0000000078,PUNB,SERVER_ERROR,The service was temporarily unavailable.,gateway,payment_processing,internal_error,NETWORK_TIMEOUT,1787522111,2,0.561,0.439,0.27,0.886,2769,10,4,196,mid,1,retry
pay_00000000000079,order_00000000000079,payment,451769,INR,failed,upi,False,customer79@example.com,+919829659692,cust_0000000079,,GATEWAY_ERROR,UPI payment was declined by the customer's bank/PSP app.,bank,payment_authorization,upi_declined,UPI_FAILURE,1787412680,3,0.456,0.544,0.63,0.312,1617,21,4,209,mid,0,escalate
pay_00000000000080,order_00000000000080,payment,33133,INR,failed,card,False,customer80@example.com,+919883867070,cust_0000000080,ICIC,GATEWAY_ERROR,Payment was flagged and declined by risk checks.,business,payment_authorization,risk_check_failed,RETRY_LIMIT,1786924233,1,0.715,0.285,0.592,0.757,0,3,5,85,low,1,retry
pay_00000000000081,order_00000000000081,payment,189110,INR,failed,card,False,customer81@example.com,+919835006323,cust_0000000081,PUNB,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1787416814,1,0.76,0.24,0.793,0.697,0,5,0,218,mid,0,switch_to_upi
pay_00000000000082,order_00000000000082,payment,268118,INR,failed,netbanking,False,customer82@example.com,+919811890348,cust_0000000082,PUNB,GATEWAY_ERROR,Payment was unsuccessful due to a temporary issue.,gateway,payment_processing,gateway_timeout,NETWORK_TIMEOUT,1787216976,3,0.355,0.645,0.242,0.38,1054,23,3,346,mid,0,escalate
pay_00000000000083,order_00000000000083,payment,62415,INR,failed,netbanking,False,customer83@example.com,+919854241559,cust_0000000083,SBIN,BAD_REQUEST_ERROR,Customer did not complete OTP authentication in time.,customer,payment_authentication,otp_timeout,USER_ABANDONMENT,1786187909,1,0.723,0.277,0.693,0.719,0,12,1,243,low,0,send_reminder
pay_00000000000084,order_00000000000084,payment,2652617,INR,failed,upi,False,customer84@example.com,+919891300905,cust_0000000084,,BAD_REQUEST_ERROR,Authentication failed due to incorrect otp.,customer,payment_authentication,incorrect_otp,USER_ABANDONMENT,1787063830,1,0.46,0.54,0.714,0.244,0,4,3,93,high,1,send_reminder
pay_00000000000085,order_00000000000085,payment,741573,INR,failed,upi,False,customer85@example.com,+919830112846,cust_0000000085,,GATEWAY_ERROR,Payment was declined by the issuing bank/gateway.,gateway,payment_authorization,payment_declined,BANK_DECLINE,1787940808,1,0.458,0.542,0.745,0.255,0,17,4,118,mid,0,retry
pay_00000000000086,order_00000000000086,payment,80604,INR,failed,card,False,customer86@example.com,+919887619624,cust_0000000086,HDFC,GATEWAY_ERROR,The card used for payment has expired.,customer,payment_authorization,card_expired,CARD_FAILURE,1788440967,1,0.526,0.474,0.655,0.395,0,8,6,16,low,0,switch_to_upi
